basis,bond_length,hf_total,fci_total,vqe_total,vqe_electronic,nuclear_repulsion,num_qubits,uccsd_params,vqe_evals,t_hf_s,t_fci_s,t_vqe_s,err
6-31g,0.35,-0.8191564830544504,-0.8356939275784778,,,,,,,0.042664527893066406,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
6-31g,0.545,-1.0875703103709333,-1.108351485391386,,,,,,,0.047835588455200195,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
6-31g,0.741,-1.1267403411606471,-1.151680090868146,,,,,,,0.04796123504638672,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
6-31g,0.936,-1.1059994792088084,-1.1359567353606632,,,,,,,0.04433250427246094,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
6-31g,1.132,-1.0693490142662372,-1.1062213439248765,,,,,,,0.05148148536682129,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
6-31g,1.327,-1.0305056665202301,-1.0767448961551194,,,,,,,0.04787611961364746,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
6-31g,1.523,-0.9932768288968336,-1.051701102777502,,,,,,,0.04759049415588379,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
6-31g,1.718,-0.9593166071660227,-1.0325143850158338,,,,,,,0.04507040977478027,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
6-31g,1.914,-0.9286317150726164,-1.01879137540406,,,,,,,0.043846845626831055,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
6-31g,2.109,-0.9015524961128398,-1.0097640110076944,,,,,,,0.057050466537475586,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
6-31g,2.305,-0.8776434888199794,-1.0041302133707335,,,,,,,0.046900033950805664,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
6-31g,2.5,-0.8568959429296017,-1.0008131479968516,,,,,,,0.07333183288574219,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
cc-pvdz,0.35,-0.7939576598118536,-0.8218188202306924,,,,,,,0.06688594818115234,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
cc-pvdz,0.545,-1.0814131407210774,-1.112758959059914,,,,,,,0.07364583015441895,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
cc-pvdz,0.741,-1.1287110109153249,-1.1634029610645862,,,,,,,0.06664824485778809,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
cc-pvdz,0.936,-1.1110096971884742,-1.1494627625629583,,,,,,,0.07165884971618652,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
cc-pvdz,1.132,-1.074812110499082,-1.1183304454345364,,,,,,,0.06403541564941406,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
cc-pvdz,1.327,-1.0355498742726326,-1.0862529866684307,,,,,,,0.06669783592224121,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
cc-pvdz,1.523,-0.9979459611689042,-1.0586075699630966,,,,,,,0.0688469409942627,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
cc-pvdz,1.718,-0.964031623157699,-1.0374307746073157,,,,,,,0.07793974876403809,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
cc-pvdz,1.914,-0.9338962981073748,-1.022441062822907,,,,,,,0.06708455085754395,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
cc-pvdz,2.109,-0.9077411333580478,-1.012703053009052,,,,,,,0.06890416145324707,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
cc-pvdz,2.305,-0.8849440999791253,-1.006672678127332,,,,,,,0.07859563827514648,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
cc-pvdz,2.5,-0.8653301201455075,-1.0031292512281604,,,,,,,0.0664207935333252,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
sto3g,0.35,-0.7804549020715263,-0.7892693924044145,,,,,,,0.4101753234863281,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
sto3g,0.545,-1.0761483777996315,-1.0895787929254506,,,,,,,0.04380083084106445,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
sto3g,0.741,-1.1167061372361047,-1.137274405529439,,,,,,,0.03514862060546875,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
sto3g,0.936,-1.083216897348073,-1.114036056076034,,,,,,,0.03179478645324707,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
sto3g,1.132,-1.0266120700866308,-1.071984986406324,,,,,,,0.03107142448425293,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
sto3g,1.327,-0.964502649570272,-1.0296516095126014,,,,,,,0.034177303314208984,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
sto3g,1.523,-0.9040288279531447,-0.9945365895792823,,,,,,,0.02977776527404785,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
sto3g,1.718,-0.8496058645036443,-0.9695249225072141,,,,,,,0.029552459716796875,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
sto3g,1.914,-0.8021989867879284,-0.9534421820233283,,,,,,,0.03307747840881348,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
sto3g,2.109,-0.7625039976595409,-0.9440497710052609,,,,,,,0.03104853630065918,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
sto3g,2.305,-0.7295941029124954,-0.9388255220613523,,,,,,,0.03313279151916504,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
sto3g,2.5,-0.7029435997235272,-0.9360549199556063,,,,,,,0.029126882553100586,,,VQE error: VQE.compute_minimum_eigenvalue() got an unexpected keyword argument 'initial_point'
